"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
0,-5,"No matching concept","70-79",2018,0,2379,"database_schema"
0,9.963,"No matching concept","70-79",2017,0,2379,"database_schema"
0,31.529,"No matching concept","30-39",2018,0,2379,"database_schema"
0,72.4188,"No matching concept","30-39",2017,0,2379,"database_schema"
0,10.5023,"No matching concept","60-69",2018,0,2379,"database_schema"
0,13.0266,"No matching concept","0-9",2017,0,2379,"database_schema"
0,69.6098,"No matching concept","50-59",2017,0,2379,"database_schema"
0,68.6105,"No matching concept","40-49",2017,0,2379,"database_schema"
0,28.0438,"No matching concept","20-29",2021,0,2379,"database_schema"
0,5.9164,"No matching concept","40-49",2020,0,2379,"database_schema"
0,5.3196,"No matching concept","40-49",2019,0,2379,"database_schema"
0,7.4606,"No matching concept","10-19",2022,0,2379,"database_schema"
0,-5,"No matching concept","10-19",2021,0,2379,"database_schema"
0,-5,"No matching concept","10-19",2019,0,2379,"database_schema"
0,9.5934,"No matching concept","30-39",2019,0,2379,"database_schema"
0,21.8261,"No matching concept","30-39",2021,0,2379,"database_schema"
0,-5,"No matching concept","60-69",2019,0,2379,"database_schema"
0,-5,"No matching concept","60-69",2022,0,2379,"database_schema"
0,-5,"No matching concept","60-69",2021,0,2379,"database_schema"
0,23.9425,"No matching concept","20-29",2022,0,2379,"database_schema"
0,-5,"No matching concept","0-9",2022,0,2379,"database_schema"
0,-5,"No matching concept","80-89",2019,0,2379,"database_schema"
0,-5,"No matching concept","50-59",2020,0,2379,"database_schema"
0,-5,"No matching concept","50-59",2019,0,2379,"database_schema"
0,-5,"No matching concept","0-9",2020,0,2379,"database_schema"
7,796419.3401,"Female","30-39",2018,0.0087893395445684,2379,"database_schema"
0,617263.0855,"Male","10-19",2018,0,2379,"database_schema"
0,547014.7351,"Male","10-19",2019,0,2379,"database_schema"
0,805649.9411,"Female","0-9",2017,0,2379,"database_schema"
22,683235.1704,"Male","20-29",2018,0.03219974754390952,2379,"database_schema"
-5,620013.2676,"Male","20-29",2019,-0.008064343557282935,2379,"database_schema"
0,526504.7337,"Female","10-19",2019,0,2379,"database_schema"
0,318865.9,"Female","80-89",2017,0,2379,"database_schema"
0,1033437.106,"Male","30-39",2017,0,2379,"database_schema"
12,870272.375,"Female","50-59",2018,0.013788786527895936,2379,"database_schema"
-5,778403.1047,"Female","50-59",2019,-0.006423407062240614,2379,"database_schema"
0,143115.592,"Female","40-49",2022,0,2379,"database_schema"
-5,473299.477,"Female","40-49",2021,-0.010564135907549291,2379,"database_schema"
10,777970.2587,"Female","40-49",2018,0.0128539618168825,2379,"database_schema"
0,978097.9876,"Female","10-19",2017,0,2379,"database_schema"
0,848382.5626,"Male","60-69",2017,0,2379,"database_schema"
0,412842.1136,"Female","0-9",2019,0,2379,"database_schema"
0,134968.98560000001,"Female","70-79",2022,0,2379,"database_schema"
-5,479668.4271,"Female","70-79",2020,-0.010423867233099363,2379,"database_schema"
0,1044414.694,"Male","40-49",2017,0,2379,"database_schema"
-5,727044.5174,"Female","20-29",2018,-0.006877157973600586,2379,"database_schema"
-5,650007.0308,"Male","40-49",2019,-0.007692224488473949,2379,"database_schema"
22,728516.0547,"Male","30-39",2018,0.030198373609020206,2379,"database_schema"
5,648460.5722,"Female","60-69",2020,0.007710569022009692,2379,"database_schema"
10,705724.9582,"Female","60-69",2018,0.014169826196179439,2379,"database_schema"
0,983530.4257,"Female","60-69",2017,0,2379,"database_schema"
9,714232.0793,"Male","50-59",2019,0.012600946192196608,2379,"database_schema"
0,111884.8459,"Male","10-19",2022,0,2379,"database_schema"
0,365296.5311,"Male","10-19",2021,0,2379,"database_schema"
-5,401220.6023,"Male","70-79",2021,-0.01246197222011398,2379,"database_schema"
0,382652.1122,"Male","70-79",2020,0,2379,"database_schema"
12,517313.5468,"Male","40-49",2020,0.023196763499099615,2379,"database_schema"
-5,578329.5879,"Male","60-69",2020,-0.008645589132238136,2379,"database_schema"
0,149780.3477,"Male","30-39",2022,0,2379,"database_schema"
12,499274.8117,"Male","30-39",2021,0.024034859597945143,2379,"database_schema"
7,541641.4702,"Male","30-39",2020,0.012923678088044597,2379,"database_schema"
-5,670771.2087,"Male","30-39",2019,-0.007454106460070549,2379,"database_schema"
6,645985.2046,"Female","60-69",2021,0.009288138423720177,2379,"database_schema"
0,329962.13,"Male","0-9",2020,0,2379,"database_schema"
0,494096.2655,"Male","0-9",2018,0,2379,"database_schema"
0,596739.7399,"Female","10-19",2018,0,2379,"database_schema"
0,281970.3299,"Female","0-9",2021,0,2379,"database_schema"
0,313416.7638,"Female","0-9",2020,0,2379,"database_schema"
-5,455157.4866,"Female","20-29",2021,-0.010985208740275173,2379,"database_schema"
0,500552.0109,"Female","20-29",2020,0,2379,"database_schema"
-5,650404.6543,"Female","20-29",2019,-0.0076875218634178824,2379,"database_schema"
0,150279.4113,"Male","50-59",2022,0,2379,"database_schema"
9,523114.5954,"Male","50-59",2021,0.017204643263906912,2379,"database_schema"
0,89014.13,"Female","80-89",2022,0,2379,"database_schema"
0,315187.8329,"Female","80-89",2020,0,2379,"database_schema"
-5,359904.898,"Male","70-79",2018,-0.01389255891705036,2379,"database_schema"
0,390808.0547,"Male","70-79",2017,0,2379,"database_schema"
0,158135.7097,"Female","50-59",2022,0,2379,"database_schema"
-5,547960.5612,"Female","50-59",2021,-0.009124744286432415,2379,"database_schema"
0,395820.8952,"Female","10-19",2020,0,2379,"database_schema"
0,140109.5112,"Male","40-49",2022,0,2379,"database_schema"
7,469141.2347,"Male","40-49",2021,0.014920879859294961,2379,"database_schema"
-5,500727.8302,"Male","20-29",2020,-0.00998546455467216,2379,"database_schema"
0,210748.5119,"Male","80-89",2021,0,2379,"database_schema"
0,193955.6659,"Male","80-89",2017,0,2379,"database_schema"
-5,577685.8179,"Male","60-69",2021,-0.008655223730739955,2379,"database_schema"
0,19.1786,"No matching concept","50-59",2018,0,2379,"database_schema"
0,51.7125,"No matching concept","60-69",2017,0,2379,"database_schema"
0,28.4873,"No matching concept","20-29",2018,0,2379,"database_schema"
0,-5,"No matching concept","70-79",2019,0,2379,"database_schema"
0,23.9808,"No matching concept","40-49",2018,0,2379,"database_schema"
0,14.8199,"No matching concept","10-19",2017,0,2379,"database_schema"
0,16.4736,"No matching concept","80-89",2017,0,2379,"database_schema"
0,22.7022,"No matching concept","30-39",2022,0,2379,"database_schema"
0,10.5763,"No matching concept","20-29",2020,0,2379,"database_schema"
0,5.7823,"No matching concept","20-29",2019,0,2379,"database_schema"
0,13.2046,"No matching concept","40-49",2022,0,2379,"database_schema"
0,12.0574,"No matching concept","40-49",2021,0,2379,"database_schema"
0,-5,"No matching concept","10-19",2020,0,2379,"database_schema"
0,-5,"No matching concept","10-19",2018,0,2379,"database_schema"
0,9.5934,"No matching concept","30-39",2020,0,2379,"database_schema"
0,5.2731,"No matching concept","80-89",2018,0,2379,"database_schema"
0,-5,"No matching concept","0-9",2021,0,2379,"database_schema"
0,-5,"No matching concept","0-9",2018,0,2379,"database_schema"
0,8.5913,"No matching concept","50-59",2021,0,2379,"database_schema"
0,9.4291,"No matching concept","50-59",2022,0,2379,"database_schema"
0,-5,"No matching concept","80-89",2020,0,2379,"database_schema"
0,-5,"No matching concept","80-89",2021,0,2379,"database_schema"
0,-5,"No matching concept","80-89",2022,0,2379,"database_schema"
0,-5,"No matching concept","0-9",2019,0,2379,"database_schema"
0,-5,"No matching concept","60-69",2020,0,2379,"database_schema"
