"cohort_id","concept_set_id","database_id","concept_id","concept_count","concept_subjects"
2379,5,"database_schema",44957582,325,39
2379,5,"database_schema",44974601,100,23
2379,5,"database_schema",44974602,6,-5
2379,5,"database_schema",44987864,-5,-5
2379,5,"database_schema",44991496,-5,-5
2379,5,"database_schema",45025834,93,18
2379,5,"database_schema",45042442,-5,-5
2379,5,"database_schema",45042443,245,32
2379,5,"database_schema",45042446,106,11
2379,5,"database_schema",45059573,19,6
2379,5,"database_schema",45059574,336,46
2379,5,"database_schema",45059576,-5,-5
2379,5,"database_schema",45076632,673,81
2379,5,"database_schema",45076633,8,7
2379,5,"database_schema",45093961,5,-5
2379,5,"database_schema",45110574,128,20
2379,5,"database_schema",45110576,471,48
2379,5,"database_schema",45144362,13,5
2379,5,"database_schema",45178521,98,16
2379,5,"database_schema",45195627,643,78
2379,5,"database_schema",45195629,19,12
2379,5,"database_schema",45195632,6,-5
2379,5,"database_schema",45213326,49,29
2379,5,"database_schema",45281741,15,-5
2379,5,"database_schema",45298452,-5,-5
2379,5,"database_schema",45298453,-5,-5
2379,5,"database_schema",45315465,-5,-5
2379,5,"database_schema",45349490,85,19
2379,5,"database_schema",45366438,-5,-5
2379,5,"database_schema",45366440,184,86
